,0
0,0
1,100
2,255
3,475
4,770
5,1150
6,1625
7,2205
8,2900
9,3720
10,4675
11,5775
12,7030
13,8450
14,10045
15,11825
16,13800
17,15980
18,18375
19,20995
20,23850
21,26950
22,30305
23,33925
24,37820
25,42000
26,46475
27,51255
28,56350
29,61770
30,67525
31,73625
32,80080
33,86900
34,94095
35,101675
36,109650
37,118030
38,126825
39,136045
40,145700
41,155800
42,166355
43,177375
44,188870
45,200850
46,213325
47,226305
48,239800
49,253820
50,268375
51,283475
52,299130
53,315350
54,332145
55,349525
56,367500
57,386080
58,405275
59,425095
60,445550
61,466650
62,488405
63,510825
64,533920
65,557700
66,582175
67,607355
68,633250
69,659870
70,687225
71,715325
72,744180
73,773800
74,804195
75,835375
76,867350
77,900130
78,933725
79,968145
80,1003400
81,1039500
82,1076455
83,1114275
84,1152970
85,1192550
86,1233025
87,1274405
88,1316700
89,1359920
90,1404075
91,1449175
92,1495230
93,1542250
94,1590245
95,1639225
96,1689200
97,1740180
98,1792175
99,1845195
100,1899250
101,1954350
102,2010505
103,2067725
104,2126020
105,2185400
106,2245875
107,2307455
108,2370150
109,2433970
110,2498925
111,2565025
112,2632280
113,2700700
114,2770295
115,2841075
116,2913050
117,2986230
118,3060625
119,3136245
120,3213100
121,3291200
122,3370555
123,3451175
124,3533070
125,3616250
126,3700725
127,3786505
128,3873600
129,3962020
130,4051775
131,4142875
132,4235330
133,4329150
134,4424345
135,4520925
136,4618900
137,4718280
138,4819075
139,4921295
140,5024950
141,5130050
142,5236605
143,5344625
144,5454120
145,5565100
146,5677575
147,5791555
148,5907050
149,6024070
150,6142625
151,6262725
152,6384380
153,6507600
154,6632395
155,6758775
156,6886750
157,7016330
158,7147525
159,7280345
160,7414800
161,7550900
162,7688655
163,7828075
164,7969170
165,8111950
166,8256425
167,8402605
168,8550500
169,8700120
170,8851475
171,9004575
172,9159430
173,9316050
174,9474445
175,9634625
176,9796600
177,9960380
178,10125975
179,10293395
180,10462650
181,10633750
182,10806705
183,10981525
184,11158220
185,11336800
186,11517275
187,11699655
188,11883950
189,12070170
190,12258325
191,12448425
192,12640480
193,12834500
194,13030495
195,13228475
196,13428450
197,13630430
198,13834425
199,14040445
200,14248500
201,14458600
202,14670755
203,14884975
204,15101270
205,15319650
206,15540125
207,15762705
208,15987400
209,16214220
210,16443175
211,16674275
212,16907530
213,17142950
214,17380545
215,17620325
216,17862300
217,18106480
218,18352875
219,18601495
220,18852350
221,19105450
222,19360805
223,19618425
224,19878320
225,20140500
226,20404975
227,20671755
228,20940850
229,21212270
230,21486025
231,21762125
232,22040580
233,22321400
234,22604595
235,22890175
236,23178150
237,23468530
238,23761325
239,24056545
240,24354200
241,24654300
242,24956855
243,25261875
244,25569370
245,25879350
246,26191825
247,26506805
248,26824300
249,27144320
250,27466875
251,27791975
252,28119630
253,28449850
254,28782645
255,29118025
256,29456000
257,29796580
258,30139775
259,30485595
260,30834050
261,31185150
262,31538905
263,31895325
264,32254420
265,32616200
266,32980675
267,33347855
268,33717750
269,34090370
270,34465725
271,34843825
272,35224680
273,35608300
274,35994695
275,36383875
276,36775850
277,37170630
278,37568225
279,37968645
280,38371900
281,38778000
282,39186955
283,39598775
284,40013470
285,40431050
286,40851525
287,41274905
288,41701200
289,42130420
290,42562575
291,42997675
292,43435730
293,43876750
294,44320745
295,44767725
296,45217700
